url,Advertisment_Title,Advertisment_Description,Category
https://www.youtube.com/watch?v=biFxeKpnv6Q,የሠራተኞቻቸውን ደሞዝ በቴሌብር የሚከፍሉ ድርጅቶች ምስክርነት,,ቴክኖሎጂ
https://www.youtube.com/watch?v=tW8b1bnDtoY,ባሳለፍነው ወር ውስጥ ብቻ ሚሊዮን ብር ወጪ በማድረግ ማህበራዊ ኃላፊነታችንን ለመወጣት ችለናል,,አንቂ ንግግር
https://www.youtube.com/watch?v=M6UOg1MVYM4,ኢትዮቴል ኢኖቬሽን  ጀማሪ የዲጂታል እና የፋይናንስ ቴክኖሎጂ ቢዝነሶችንና ባለሙያዎችን የሚያግዝና የሚያበረታታ አዲስ ፕሮግራም ጀማሪ ቢዝነሶችን በማብቃት ላይ,,አንቂንግግር
https://www.youtube.com/watch?v=XeFrGW0dr3k,ኢትዮቴል ኢኖቬሽን  ጀማሪ የዲጂታል እና የፋይናንስ ቴክኖሎጂ ቢዝነሶችንና ባለሙያዎችን የሚያግዝና የሚያበረታታ ፕሮግራም ጀማሪ ቢዝነሶችን በማብቃት ላይ,,መዝናኛ
https://www.youtube.com/watch?v=Jc2u8jMXMAk,የፌዴራል ግብር ክፍያ በቴሌብር ማስጀመሪያ መርሃ ግብር  ኢትዮ ቴሌኮም ከገቢዎች ሚኒስቴር ጋር በመተባበር,,ቴክኖሎጂ
https://www.youtube.com/watch?v=BsRij_L46Tg,ቴሌክላውድ  የክላውድ አገልግሎቶች ለቢዝነስዎ ምርታማነት,,ቴክኖሎጂ
https://www.youtube.com/watch?v=pQrN-UPV4BI,በውድድር ገበያ ውስጥ ሆነን ከፍተኛ ውጤት ማስመዝገብ ችለናል,,አንቂ ንግግር
https://www.youtube.com/watch?v=hdGTXJYBO1Q,ጥምቀት የሞባይል ጥቅል በሕብረ ቀለማት አሸብርቆ ለሚከበረው ጥምቀት ሌላ ተጨማሪ ልዩ ቀለም,,መዝናኛ
https://www.youtube.com/watch?v=GL90A03cMdU,የ2015 በጀት ዓመት የመጀመሪያ መንፈቅ የሥራ አፈጻጸም ሪፖርት ጋዜጣዊ መግለጫ,,አንቂ ንግግር ፣
https://www.youtube.com/watch?v=cN-nLQQ-_lo,በዓል መሉ በኩልሄ ሆኖ እንዲከበር  የሁልጊዜም ምርጫዎ ይሁን,,መዝናኛ
